harm	voice4	voice3	voice2	voice1	beat	meter	onset_strength	beat_strength	LABEL	similarity
I	2.r	4e-	4g	8.g	3	M3/4	2.0	strong beat	1.0	1.0
I	2.r	4e-	4g	16e-	3.75	M3/4	0.0	off beat	0.0	0.0
Vb	2.r	2d	2f	4b-	1	M3/4	3.0	strong beat	1.0	1.0
Vb	2.r	2d	2f	4b-	2	M3/4	0.0	weak beat	0.0	0.0
Lt	2.r	4c	4e-	8.ee-	3	M3/4	3.0	strong beat	1.0	0.8
Lt	2.r	4c	4e-	16a	3.75	M3/4	1.0	off beat	0.0	0.0
V	2.r	2B-	2d	4b-	1	M3/4	3.0	strong beat	1.0	1.0
V	2.r	2B-	2d	4b-	2	M3/4	0.0	weak beat	0.0	0.6666666666666666
v	2.r	4r	4r	8.b-	3	M3/4	0.0	strong beat	1.0	0.0
v	2.r	4r	4r	16dd-	3.75	M3/4	1.0	off beat	0.0	0.5
v	2.BB-	2.b-	2.dd-	4ff	1	M3/4	3.0	strong beat	0.0	1.0
v	2.BB-	2.b-	2.dd-	4ff	2	M3/4	0.0	weak beat	0.0	0.8
v	2.BB-	2.b-	2.dd-	4bb-	3	M3/4	1.0	strong beat	0.0	0.0
V7/v	2F	2cc	2ee-	4aa	1	M3/4	4.0	strong beat	1.0	0.8571428571428571
V7/v	2F	2cc	2ee-	4ff	2	M3/4	1.0	weak beat	0.0	0.0
V7/v	4r	4r	4r	8.b-	3	M3/4	1.0	strong beat	0.0	0.0
V7/v	4r	4r	4r	16dd-	3.75	M3/4	1.0	off beat	0.0	0.5
v	2B-	2b-	2dd-	4ff	1	M3/4	3.0	strong beat	1.0	1.0
v	2B-	2b-	2dd-	4ff	2	M3/4	0.0	weak beat	0.0	0.6666666666666666
viioD7/V/v	4E	4e	4bb-	4ddd-	3	M3/4	4.0	strong beat	1.0	0.0
V/v	4F	2f	2aa	2ccc	1	M3/4	4.0	strong beat	1.0	1.0
V/v	4FF	2f	2aa	2ccc	2	M3/4	1.0	weak beat	0.0	0.0
Ib	4r	4r	8.B-	8.b-	3	M3/4	2.0	strong beat	1.0	0.0
Ib	4r	4r	16d	16dd	3.75	M3/4	2.0	off beat	0.0	0.5
Ib	2.D	[2.B-	4f	4ff	1	M3/4	4.0	strong beat	0.0	1.0
Ib	2.D	[2.B-	4f	4ff	2	M3/4	0.0	weak beat	0.0	0.8
Ib	2.D	[2.B-	4b-	4bb-	3	M3/4	2.0	strong beat	0.0	0.4
iib	2.E-	2B-]	4g	4gg	1	M3/4	3.0	strong beat	1.0	0.8
iib	2.E-	2B-]	4e-	4ee-	2	M3/4	2.0	weak beat	0.0	0.4
iib	2.E-	4g	4c	4cc	3	M3/4	3.0	strong beat	0.0	0.0
Ic	2.F	2f	2d	2b-	1	M3/4	4.0	strong beat	1.0	0.3333333333333333
?	2.F	4e-	8.e-	8.cc	3	M3/4	2.0	strong beat	1.0	0.8571428571428571
?	2.F	4e-	16c	16a	3.75	M3/4	2.0	off beat	0.0	0.0
I	4BB-	4d	4B-	[2.b-	1	M3/4	4.0	strong beat	1.0	0.6666666666666666
I	4B-	2r	8.r	[2.b-	2	M3/4	0.0	weak beat	0.0	1.0
I	4B-	2r	16B-	[2.b-	2.75	M3/4	0.0	off beat	0.0	0.6666666666666666
I	8.BB-	2r	8.d	[2.b-	3	M3/4	2.0	strong beat	0.0	0.8
I	16D	2r	16f	[2.b-	3.75	M3/4	2.0	off beat	0.0	0.8571428571428571
V7c/IV	4F	4D	4a-	2.b-_	1	M3/4	2.0	strong beat	1.0	0.8571428571428571
V7c/IV	4A-	4F	8.f	2.b-_	2	M3/4	2.0	weak beat	0.0	0.8571428571428571
V7c/IV	4A-	4F	16d	2.b-_	2.75	M3/4	1.0	off beat	0.0	0.2857142857142857
IVb	8.G	8.G	8.e-	2.b-_	3	M3/4	2.0	strong beat	1.0	1.0
IVb	16E-	16E-	16g	2.b-_	3.75	M3/4	2.0	off beat	0.0	0.3333333333333333
I	4BB-	4D	4f	2.b-_	1	M3/4	3.0	strong beat	1.0	0.5
I	4B-	2r	8.r	2.b-_	2	M3/4	1.0	weak beat	0.0	1.0
I	4B-	2r	16B-	2.b-_	2.75	M3/4	0.0	off beat	0.0	0.6666666666666666
I	8.BB-	2r	8.d	2.b-_	3	M3/4	2.0	strong beat	0.0	0.8
I	16D	2r	16f	2.b-_	3.75	M3/4	2.0	off beat	0.0	0.8571428571428571
V7c/IV	4F	4D	4a-	2.b-_	1	M3/4	2.0	strong beat	1.0	0.8571428571428571
V7c/IV	4A-	4F	8.f	2.b-_	2	M3/4	2.0	weak beat	0.0	0.8571428571428571
V7c/IV	4A-	4F	16d	2.b-_	2.75	M3/4	1.0	off beat	0.0	0.2857142857142857
IVb	8.G	8.G	8.e-	2.b-_	3	M3/4	2.0	strong beat	1.0	1.0
IVb	16E-	16E-	16g	2.b-_	3.75	M3/4	2.0	off beat	0.0	0.3333333333333333
I	4BB-	4D	4f	8.b-]	1	M3/4	3.0	strong beat	1.0	1.0
I	4BB-	4D	4f	16B-	1.75	M3/4	1.0	off beat	0.0	0.0
I	2r	2r	2r	8.c	2	M3/4	1.0	weak beat	0.0	0.0
I	2r	2r	2r	16d	2.75	M3/4	1.0	off beat	0.0	0.0
I	2r	2r	2r	8.e-	3	M3/4	1.0	strong beat	0.0	0.0
I	2r	2r	2r	16g	3.75	M3/4	1.0	off beat	0.0	0.5
I	4EE-	4e-	4e- 4G	4b-	1	M3/4	4.0	strong beat	0.0	0.5
I	4r	4r	4r	4b-	2	M3/4	0.0	weak beat	0.0	0.5
I	4e-	[4b-	4g	4ee-	3	M3/4	3.0	strong beat	0.0	0.2857142857142857
V7c	4f	4b-]	4a-	4dd	1	M3/4	3.0	strong beat	1.0	0.4
V7c	4r	4r	4r	4b-	2	M3/4	0.0	weak beat	0.0	0.5
V7c	4f	[4b-	4a-	8.b-	3	M3/4	2.0	strong beat	0.0	0.8571428571428571
V7c	4f	[4b-	4a-	16dd	3.75	M3/4	1.0	off beat	0.0	0.2857142857142857
I	4e-	4b-]	4g	4ee-	1	M3/4	3.0	strong beat	1.0	0.5
I	4r	4r	4r	4ee-	2	M3/4	0.0	weak beat	0.0	0.5
I	4e-	4b-	4g	4gg	3	M3/4	4.0	strong beat	0.0	0.2857142857142857
V7b	2d	2b-	2f	2aa-	1	M3/4	3.0	strong beat	1.0	0.6666666666666666
V7b	4DD	4D	4A-	4A-	3	M3/4	3.0	strong beat	0.0	0.0
I	4EE-	4E-	4G	4G	1	M3/4	3.0	strong beat	1.0	0.0
I	4FF	4F	4A-	4A-	2	M3/4	3.0	weak beat	0.0	0.0
I	4GG	4G	4B-	4B-	3	M3/4	3.0	strong beat	0.0	0.0
IV[I]	4AA-	4A-	4c	4c	1	M3/4	3.0	strong beat	1.0	0.0
IV[I]	4BB-	4B-	4d	4d	2	M3/4	3.0	weak beat	0.0	0.0
IV[I]	4C	4c	4e-	4e-	3	M3/4	3.0	strong beat	0.0	0.0
IV[iib]	4AA-	4A-	2f	2f	1	M3/4	3.0	strong beat	1.0	0.6666666666666666
IV[iib]	4FF	4F	2f	2f	2	M3/4	2.0	weak beat	0.0	0.0
IV[iib]	4BB-	4B-	8.d	8.d	3	M3/4	3.0	strong beat	0.0	0.6666666666666666
IV[iib]	4BB-	4B-	16B-	16B-	3.75	M3/4	0.0	off beat	0.0	0.0
I	4EE-	4E-	4e-	4e-	1	M3/4	3.0	strong beat	1.0	1.0
I	4E-	2r	2r	4r	2	M3/4	0.0	weak beat	0.0	1.0
I	4r	2r	2r	8.e-	3	M3/4	1.0	strong beat	0.0	0.0
I	4r	2r	2r	16g	3.75	M3/4	1.0	off beat	0.0	0.5
I	4E-	4e-	4G 4e-	4b-	1	M3/4	4.0	strong beat	0.0	0.5
I	4r	4r	4r	4b-	2	M3/4	0.0	weak beat	0.0	0.5
I	4e-	[4b-	4g	4ee-	3	M3/4	3.0	strong beat	0.0	0.2857142857142857
V7c	4f	4b-]	4a-	4dd	1	M3/4	3.0	strong beat	1.0	0.4
V7c	4r	4r	4r	4b-	2	M3/4	0.0	weak beat	0.0	0.5
V7c	4f	[4b-	4a-	8.b-	3	M3/4	2.0	strong beat	0.0	0.8571428571428571
V7c	4f	[4b-	4a-	16dd	3.75	M3/4	1.0	off beat	0.0	0.2857142857142857
I	4e-	4b-]	4g	4ee-	1	M3/4	3.0	strong beat	1.0	0.5
I	4r	4r	4r	4ee-	2	M3/4	0.0	weak beat	0.0	0.5
I	4e-	4e-	4b-	4gg	3	M3/4	3.0	strong beat	0.0	0.2857142857142857
viioD7b/V	[2.c	[2.g-	[2.ee-	[2.aa	1	M3/4	4.0	strong beat	1.0	1.0
viioD7b/V	2.c_	4a	4e-	4gg-	2	M3/4	3.0	weak beat	0.0	1.0
viioD7b/V	2.c_	4a	4e-	4gg-	3	M3/4	0.0	strong beat	0.0	1.0
V7	2.c]	2.a	4e-	4gg-	1	M3/4	0.0	strong beat	1.0	0.5714285714285714
V7	2.c]	2.a	4f	4ff	2	M3/4	2.0	weak beat	0.0	0.5714285714285714
V7	2.c]	2.a	4g-	4ee-	3	M3/4	2.0	strong beat	0.0	0.2857142857142857
Ic	2.B-	2b-	2g	2ee-	1	M3/4	3.0	strong beat	1.0	0.3333333333333333
V7	2.B-	4a-	8a-	8ff	3	M3/4	2.0	strong beat	1.0	0.8571428571428571
V7	2.B-	4a-	8f	8dd	3.5	M3/4	2.0	off beat	0.0	0.0
I	4E-	4g	4e-	4ee-	1	M3/4	4.0	strong beat	1.0	0.5
V7b	2r	2r	8.g	8.b-	3	M3/4	1.0	strong beat	1.0	0.5
V7b	2r	2r	16e-	16g	3.75	M3/4	1.0	off beat	0.0	0.0
viio[IV]	2.r	2.r	4a-	4cc	1	M3/4	2.0	strong beat	1.0	1.0
viio[IV]	2.r	2.r	4a-	4cc	2	M3/4	0.0	weak beat	0.0	0.5
viio[IV]	2.r	2.r	8.f	8.a-	3	M3/4	1.0	strong beat	0.0	0.5
viio[IV]	2.r	2.r	16d	16f	3.75	M3/4	1.0	off beat	0.0	0.0
I	4E-	2r	4g	4b-	1	M3/4	3.0	strong beat	1.0	0.8
I	2r	2r	4g	4b-	2	M3/4	0.0	weak beat	0.0	0.8
I	2r	4e-	4B-	8.g	3	M3/4	2.0	strong beat	0.0	0.8
I	2r	4e-	4B-	16e-	3.75	M3/4	0.0	off beat	0.0	0.0
iib	2AA-	2A-	2c	4f	1	M3/4	4.0	strong beat	1.0	1.0
iib	2AA-	2A-	2c	4f	2	M3/4	0.0	weak beat	0.0	0.5714285714285714
V7	4BB-	4F	4A-	8.d	3	M3/4	3.0	strong beat	1.0	0.8571428571428571
V7	4BB-	4F	4A-	16B-	3.75	M3/4	1.0	off beat	0.0	0.0
I	4EE-	4E-	4G	4e-	1	M3/4	4.0	strong beat	1.0	0.6666666666666666
I	4E-	2r	2r	2r	3	M3/4	0.0	strong beat	0.0	0.0
IV	2.A-	2.r	2.c	4r	1	M3/4	2.0	strong beat	1.0	0.8
IV	2.A-	2.r	2.c	8ee-	2	M3/4	1.0	weak beat	0.0	0.8
IV	2.A-	2.r	2.c	8ccc	2.5	M3/4	1.0	off beat	0.0	0.8
IV	2.A-	2.r	2.c	8bb-	3	M3/4	1.0	strong beat	0.0	0.8
IV	2.A-	2.r	2.c	8aa-	3.5	M3/4	1.0	off beat	0.0	0.4
?	2.B-	2.r	2.d-	2aa-	1	M3/4	2.0	strong beat	1.0	0.6666666666666666
viiob/IV	2.B-	2.r	2.d-	[4gg	3	M3/4	1.0	strong beat	1.0	0.3333333333333333
?	2.c	2.r	2.e-	4gg]	1	M3/4	2.0	strong beat	1.0	0.6666666666666666
IVb	2.c	2.r	2.e-	4aa-	2	M3/4	1.0	weak beat	1.0	0.6666666666666666
viio/IV/IV	2.c	2.r	2.e-	[4gg-	3	M3/4	1.0	strong beat	1.0	0.3333333333333333
IV/IV	2.d-	2.r	2.f	4gg-]	1	M3/4	2.0	strong beat	1.0	0.8
IV/IV	2.d-	2.r	2.f	4ff	2	M3/4	1.0	weak beat	0.0	1.0
IV/IV	2.d-	2.r	2.f	[4ff	3	M3/4	0.0	strong beat	0.0	0.4
I	2.e-	2.r	2.g	4ff]	1	M3/4	2.0	strong beat	1.0	0.8
I	2.e-	2.r	2.g	4ee-	2	M3/4	1.0	weak beat	0.0	0.8
I	2.e-	2.r	2.g	4dd-	3	M3/4	1.0	strong beat	0.0	0.3333333333333333
IVb/IV	[2.f	2.r	[2.a-	2.dd-	1	M3/4	2.0	strong beat	1.0	0.6666666666666666
ii	2.f]	2.r	2.a-]	4cc	1	M3/4	1.0	strong beat	1.0	1.0
ii	2.f]	2.r	2.a-]	4cc	2	M3/4	0.0	weak beat	0.0	0.6666666666666666
ii	2.f]	2.r	2.a-]	4dd	3	M3/4	1.0	strong beat	0.0	0.0
I	2.e-	2.r	2.g	4ee-	1	M3/4	3.0	strong beat	1.0	1.0
I	2.e-	2.r	2.g	4ee-	2	M3/4	0.0	weak beat	0.0	1.0
I	2.e-	2.r	2.g	4ee-	3	M3/4	0.0	strong beat	0.0	0.0
V	4B-	2.r	4d	4ff	1	M3/4	3.0	strong beat	1.0	1.0
V	4B-	2.r	4d	4ff	2	M3/4	0.0	weak beat	0.0	1.0
V	4B-	2.r	4d	8ff	3	M3/4	0.0	strong beat	0.0	0.6666666666666666
V	4B-	2.r	4d	8gg	3.5	M3/4	1.0	off beat	0.0	0.0
I	4E-	2.r	4e-	4ee-	1	M3/4	3.0	strong beat	1.0	1.0
I	4E-	2.r	2r	2r	3	M3/4	0.0	strong beat	0.0	0.0
viiob/IV	2.B-	2.r	2.d-	4r	1	M3/4	2.0	strong beat	1.0	0.8
viiob/IV	2.B-	2.r	2.d-	4g	2	M3/4	1.0	weak beat	0.0	1.0
viiob/IV	2.B-	2.r	2.d-	[4g	3	M3/4	0.0	strong beat	0.0	0.3333333333333333
IVb	2.c	2.r	2.e-	4g]	1	M3/4	2.0	strong beat	1.0	0.6666666666666666
IVb	2.c	2.r	2.e-	4a-	2	M3/4	1.0	weak beat	0.0	1.0
IVb	2.c	2.r	2.e-	4a-	3	M3/4	0.0	strong beat	0.0	0.4
viioD7c/V	2.e-	2.r	2.g-	4r	1	M3/4	1.0	strong beat	1.0	0.8
viioD7c/V	2.e-	2.r	2.g-	4a	2	M3/4	1.0	weak beat	0.0	1.0
viioD7c/V	2.e-	2.r	2.g-	[4a	3	M3/4	0.0	strong beat	0.0	0.3333333333333333
Vb	2.d	2.r	2.f	4a]	1	M3/4	2.0	strong beat	1.0	0.6666666666666666
Vb	2.d	2.r	2.f	4b-	2	M3/4	1.0	weak beat	0.0	1.0
Vb	2.d	2.r	2.f	[4b-	3	M3/4	0.0	strong beat	0.0	0.6666666666666666
viioD7c/V/ii	2.f	2.r	2.a-	4b-]	1	M3/4	1.0	strong beat	1.0	0.6666666666666666
viioD7c/V/ii	2.f	2.r	2.a-	4b	2	M3/4	1.0	weak beat	0.0	1.0
viioD7c/V/ii	2.f	2.r	2.a-	[4b	3	M3/4	0.0	strong beat	0.0	0.3333333333333333
Vb/ii	2.e	4r	2.g	4b]	1	M3/4	2.0	strong beat	1.0	0.6666666666666666
Vb/ii	2.e	4c	2.g	4cc	2	M3/4	2.0	weak beat	0.0	1.0
Vb/ii	2.e	4c	2.g	4cc	3	M3/4	0.0	strong beat	0.0	1.0
Vb/ii	2e	2c	2g	2cc	1	M3/4	0.0	strong beat	0.0	0.0
Vb/ii	4r	4r	4r	8.f	3	M3/4	1.0	strong beat	0.0	0.0
Vb/ii	4r	4r	4r	16a-	3.75	M3/4	1.0	off beat	0.0	0.5
ii	4F	4f	4A-	4cc	1	M3/4	4.0	strong beat	1.0	0.5
ii	4r	4r	4r	4cc	2	M3/4	0.0	weak beat	0.0	0.5
ii	4f	[4cc	4a-	4ff	3	M3/4	3.0	strong beat	0.0	0.2857142857142857
Vc/ii	4g	4cc]	4b-	4ee	1	M3/4	3.0	strong beat	1.0	0.4
Vc/ii	4r	4r	4r	4cc	2	M3/4	0.0	weak beat	0.0	0.5
Vc/ii	4g	[4cc	4b-	8.cc	3	M3/4	2.0	strong beat	0.0	0.8571428571428571
Vc/ii	4g	[4cc	4b-	16ee	3.75	M3/4	1.0	off beat	0.0	0.2857142857142857
ii	4f	4cc]	4a-	4ff	1	M3/4	3.0	strong beat	1.0	0.5
ii	4r	4r	4r	4ff	2	M3/4	0.0	weak beat	0.0	0.5
ii	4f	[4cc	4a-	4aa-	3	M3/4	4.0	strong beat	0.0	0.2857142857142857
V7b/ii	4e	4cc]	4g	4bb-	1	M3/4	3.0	strong beat	1.0	0.0
.	8r	8G/	8r	8g/	2.5	M2/4	2.0	off beat	1.0	0.0
i	8r	4.d\	8r	4.dd\	1	M2/4	2.0	strong beat	1.0	0.6666666666666666
i	8B-\	4.d\	8d/L	4.dd\	1.5	M2/4	1.0	off beat	0.0	0.4
i	8A\L	4.d\	8c/	4.dd\	2	M2/4	2.0	weak beat	0.0	0.0
VIb	8G\J	8e-\	8B-/J	8ee-\	2.5	M2/4	4.0	off beat	1.0	0.0
Vb	4.F#\	8d\L	4.A/	8dd\L	1	M2/4	4.0	strong beat	1.0	0.6666666666666666
Vb	4.F#\	8c#\J	4.A/	8cc#\	1.5	M2/4	2.0	off beat	0.0	0.6666666666666666
Vb	4.F#\	8d\L	4.A/	8dd\	2	M2/4	2.0	weak beat	0.0	0.6666666666666666
V7	8D\	8cn\J	8f#/	8ccn\J	2.5	M2/4	4.0	off beat	1.0	0.0
i	8G'\L	8B-'/L	4g/	8b-'/L	1	M2/4	4.0	strong beat	1.0	0.4
i	8D'\	8A'/	4g/	8a'/	1.5	M2/4	3.0	off beat	0.0	0.4
i	8E-'\	8G'/	8r	8g'/	2	M2/4	2.0	weak beat	0.0	0.0
iv	8C'\J	8c'/J	8c/	8cc'/J	2.5	M2/4	3.0	off beat	1.0	0.0
V	[2D\	4.D/	4.d/	4.d/	1	M2/4	2.0	strong beat	1.0	0.5
ic	[2D\	8G/	[8b-\	8b-\	2.5	M2/4	2.0	off beat	1.0	0.5714285714285714
V	4.D\]	8A'/L	8b-\]	8c'/L	1	M2/4	2.0	strong beat	1.0	0.5714285714285714
V	4.D\]	8F#'/	4a/	8a'/	1.5	M2/4	2.0	off beat	0.0	0.5714285714285714
V	4.D\]	8G'/	4a/	8B-'/	2	M2/4	2.0	weak beat	0.0	0.5714285714285714
(VI)	8E-\	8B-'/J	[8g/	8g'/J	2.5	M2/4	2.0	off beat	1.0	0.5714285714285714
iim7b	4C/	4e-\	8g/L]	8A/L	1	M2/4	3.0	strong beat	1.0	0.6666666666666666
iim7b	4C/	4e-\	8cc/	8ee-/	1.5	M2/4	2.0	off beat	0.0	0.0
iim7b	8r	8r	8b-/	8dd/	2	M2/4	2.0	weak beat	0.0	0.3333333333333333
V7	8D\	8c\	8a/J	8f#/J	2.5	M2/4	4.0	off beat	1.0	0.0
i	8GG/L	4B-/	4g/	4g/	1	M2/4	3.0	strong beat	1.0	1.0
i	8G/	4B-/	4g/	4g/	1.5	M2/4	1.0	off beat	0.0	0.6666666666666666
i	8GG'/J	8r	4r	8r	2	M2/4	1.0	weak beat	0.0	1.0
i	8r	8G/	4r	8g/	2.5	M2/4	2.0	off beat	0.0	0.0
i	8r	4.d\	8r	4.dd\	1	M2/4	2.0	strong beat	0.0	0.6666666666666666
i	8B-\L	4.d\	8d/L	4.dd\	1.5	M2/4	1.0	off beat	0.0	0.4
i	8A\	4.d\	8c/	4.dd\	2	M2/4	2.0	weak beat	0.0	0.0
VI	8G\J	8e-\	8B-/J	8ee-\	2.5	M2/4	4.0	off beat	1.0	0.0
Vb	4.F#\	8d\L	4.A/	8dd\L	1	M2/4	4.0	strong beat	1.0	0.6666666666666666
Vb	4.F#\	8c#\	4.A/	8cc#\	1.5	M2/4	2.0	off beat	0.0	0.6666666666666666
Vb	4.F#\	8d\	4.A/	8dd\	2	M2/4	2.0	weak beat	0.0	0.6666666666666666
V7	8D\	8cn\J	8f#/	8ccn\J	2.5	M2/4	4.0	off beat	1.0	0.0
i	8G'\L	8B-'\L	4g/	8b-'\L	1	M2/4	4.0	strong beat	1.0	0.4
i	8D'\	8A'\	4g/	8a'\	1.5	M2/4	3.0	off beat	0.0	0.4
i	8E-'\	8G'\	8r	8g'\	2	M2/4	2.0	weak beat	0.0	0.8
iv	8C'\J	8g'\J	8ee-\	8ee-'\J	2.5	M2/4	2.0	off beat	1.0	0.3333333333333333
IIIb	8D/L	8f\L	4ee-\	4.f/	1	M2/4	2.0	strong beat	1.0	0.8571428571428571
IIIb	16D/L	16g\L	4ee-\	4.f/	1.5	M2/4	1.0	off beat	0.0	0.5
IIIb	16C/JJ	16a\JJ	4ee-\	4.f/	1.75	M2/4	2.0	off beat	0.0	0.2857142857142857
IIIb	8D'/L	8b-'\L	[4dd\	4.f/	2	M2/4	3.0	weak beat	0.0	0.8
IIIb	8BB-'/J	8d'\J	[4dd\	8dd\	2.5	M2/4	2.0	off beat	0.0	0.4
iio	8C'/L	4e-\	8dd\]	8e-'/L	1	M2/4	2.0	strong beat	1.0	0.6666666666666666
iio	8AA'/	4e-\	4cc\	8cc'/	1.5	M2/4	2.0	off beat	0.0	0.3333333333333333
III	8BB-'/	8d\L	4cc\	8d'/	2	M2/4	2.0	weak beat	1.0	0.6666666666666666
III	8D'/J	8f\J	[8b-\	8b-'/J	2.5	M2/4	3.0	off beat	0.0	0.2857142857142857
ivm7b	4.E-\	4g\	8b-/L]	8c/L	1	M2/4	3.0	strong beat	1.0	0.8571428571428571
ivm7b	4.E-\	4g\	8B-/	8gg/J	1.5	M2/4	2.0	off beat	0.0	0.8
ivm7b	4.E-\	8r	8g/	8ee-\L	2	M2/4	1.0	weak beat	0.0	0.8
ivm7b	8E-\	8g\	8e-/J	8cc\J	2.5	M2/4	2.0	off beat	0.0	0.0
IIIc	8F/L	8f/L	4d/	4b-\	1	M2/4	4.0	strong beat	1.0	1.0
IIIc	8FF/	8F/	4d/	4b-\	1.5	M2/4	1.0	off beat	0.0	0.3333333333333333
VII	8FF'/J	8F'/J	8c'/	8a/L	2	M2/4	2.0	weak beat	1.0	0.5
VII	8r	8r	8r	8f/J	2.5	M2/4	1.0	off beat	0.0	0.6666666666666666
VII	8FF/L	2r	4.a/	4.ff\	1	M2/4	3.0	strong beat	0.0	1.0
VII	8F/	2r	4.a/	4.ff\	1.5	M2/4	1.0	off beat	0.0	1.0
VII	8F/	2r	4.a/	4.ff\	2	M2/4	0.0	weak beat	0.0	0.4
VII	8F/J	2r	8b-\	8gg\	2.5	M2/4	2.0	off beat	0.0	0.4
VII	8FF/L	2r	8a/L	8ff\L	1	M2/4	3.0	strong beat	0.0	0.4
VII	8F/	2r	8g/	8een\	1.5	M2/4	3.0	off beat	0.0	0.4
V7/III	8F/	2r	8a/	8ff\	2	M2/4	2.0	weak beat	1.0	0.4
V7/III	8F/J	2r	8cc/J	8ee-\J	2.5	M2/4	2.0	off beat	0.0	0.3333333333333333
IIIc	8FF/L	2r	8b-\	4.dd\	1	M2/4	3.0	strong beat	1.0	0.8
IIIc	8F/	2r	4f/	4.dd\	1.5	M2/4	2.0	off beat	0.0	1.0
IIIc	8F/	2r	4f/	4.dd\	2	M2/4	0.0	weak beat	0.0	0.4
IIIc	8F/J	2r	8g/	8ee-\	2.5	M2/4	2.0	off beat	0.0	0.4
IIIc	8FF/L	4r	8f/L	8dd\L	1	M2/4	3.0	strong beat	0.0	0.4
IIIc	8F/	4r	8en/	8cc#\	1.5	M2/4	3.0	off beat	0.0	0.4
IIIc	8F/	8r	8f/	8dd\	2	M2/4	2.0	weak beat	0.0	0.3333333333333333
V7/III	8F/J	8a\	8e-/J	8ccn\J	2.5	M2/4	3.0	off beat	1.0	0.2857142857142857
IIIc	8FF/L	8b-\L	8d/L	2b-\	1	M2/4	3.0	strong beat	1.0	0.5714285714285714
IIIc	8F/	8g\J	8en/J	2b-\	1.5	M2/4	3.0	off beat	0.0	0.5714285714285714
IIIc	8F/	16a\LL	16f/LL	2b-\	2	M2/4	2.0	weak beat	0.0	0.5714285714285714
IIIc	8F/	16g\	16e/	2b-\	2.25	M2/4	2.0	off beat	0.0	0.5714285714285714
IIIc	8F/J	16f\	16d/	2b-\	2.5	M2/4	2.0	off beat	0.0	0.5714285714285714
IIIc	8F/J	16g\JJ	16e/JJ	2b-\	2.75	M2/4	2.0	off beat	0.0	0.3333333333333333
VII	8FF/L	8a\L	4f/	8a\L	1	M2/4	3.0	strong beat	1.0	0.4
VII	8F/	8cc\J	4f/	8ee-\J	1.5	M2/4	3.0	off beat	0.0	0.3333333333333333
VII	8F/	16dd\LL	4a/	16ff\LL	2	M2/4	3.0	weak beat	0.0	0.5714285714285714
